omega_rad_s,Surge,Heave,Pitch
0.2,35637.688073515084,293393.43505572487,245501.25812886131
0.27179487179487183,35169.25645957627,286572.6133296294,240629.6912074438
0.3435897435897436,34567.49958564313,277913.630722733,234420.45641644823
0.41538461538461535,33839.49406067963,267593.69926322164,226982.6188333884
0.48717948717948717,32993.688617424195,255818.9960896483,218444.1906386839
0.558974358974359,32039.741004566004,242817.82730986853,208948.47138538418
0.6307692307692307,30988.334655218416,228833.29751014902,198650.0592594128
0.7025641025641025,29850.979991277523,214115.8121373071,187710.6879608996
0.7743589743589743,28639.805517664994,198915.7326268405,176295.04482826145
0.846153846153846,27367.343983671057,183476.4794990742,164566.71940992118
0.9179487179487178,26046.31884153577,168028.3391541602,152684.4185467681
0.9897435897435898,24689.436022602807,152783.17910407385,140798.5652068709
1.0615384615384615,23309.185692527375,137930.21779773087,129048.37513380813
1.1333333333333333,21917.658158083344,123632.93317743686,117559.47932759451
1.205128205128205,20526.377502303374,110027.13271741815,106442.13303677515
1.2769230769230768,19146.15584826284,97220.15062139415,95790.02482914903
1.3487179487179486,17786.970422822356,85291.08815596903,85679.67382248236
1.4205128205128204,16457.864838593225,74291.97303848283,76170.38048132976
1.4923076923076921,15166.875263040873,64249.684770539934,67304.67744046649
1.5641025641025639,13920.981423848349,55168.47531203991,59109.212217425935
1.6358974358974356,12726.081732406448,47032.90820045032,51595.983733551104
1.7076923076923076,11586.991211908195,39811.04310825873,44763.84928394027
1.7794871794871794,10507.460408127148,33457.705329409495,38600.21772415871
1.8512820512820511,9490.213050152217,27917.6988684873,33082.84769767932
1.923076923076923,8536.999921129236,23128.845581813544,28181.676070255293
1.9948717948717947,7648.666196938165,19024.75910146762,23860.610619148818
2.0666666666666664,6825.229411085239,15537.289130783578,20079.231655136573
2.1384615384615384,6065.965200620797,12598.5974714128,16794.358852605812
2.2102564102564104,5369.498071265869,10142.85050982176,13961.451403932375
2.282051282051282,4733.8945784429325,8107.532917169739,11535.821067936733
2.353846153846154,4156.756541225326,6434.403443224672,9473.648235602199
2.4256410256410255,3635.3121741071686,5070.1257060596145,7732.800407294629
2.4974358974358974,3166.503322496736,3966.6148892957394,6273.4602154650975
2.5692307692307694,2747.067307904743,3081.145588965302,5058.576212493671
2.641025641025641,2373.6122148285735,2376.2672011064474,4054.1540643434664
2.712820512820513,2042.6847715882868,1819.5718060565114,3229.4086295689754
2.7846153846153845,1750.8302817969222,1383.3561199134645,2556.79881385249
2.8564102564102565,1494.6443435776107,1044.214366751645,2011.9672754355583
2.928205128205128,1270.8163438774955,782.5934416680084,1573.6062468571658
3.0,1076.164931040922,582.3359685991102,1223.2691719841866
